auc10,iterations
0.84600301659125188,5
0.87398190045248869,10
0.87903469079939667,15
0.88325791855203617,20
0.88800904977375561,25
0.89170437405731529,30
0.89381598793363504,35
0.8970588235294118,40
0.89841628959276021,45
0.89917043740573155,50
0.90113122171945703,55
0.90286576168929111,60
0.90324283559577678,65
0.90414781297134239,70
0.90399698340874812,75
0.90520361990950227,80
0.90520361990950227,85
0.90497737556561086,90
0.90512820512820513,95
0.90512820512820513,100
0.90558069381598794,105
0.90512820512820513,110
0.90497737556561086,115
0.90475113122171946,120
0.90414781297134239,125
0.90392156862745099,130
0.90316742081447965,135
0.90331825037707392,140
0.90263951734539971,145
0.90218702865761691,150
0.90143288084464557,155
0.9012820512820513,160
0.90113122171945703,165
0.9010558069381599,170
0.90090497737556563,175
0.90075414781297136,180
0.90052790346907996,185
0.90060331825037709,190
0.90037707390648569,195
0.90007541478129716,200
0.90022624434389142,205
0.89924585218702868,210
0.89879336349924588,215
0.89811463046757167,220
0.89796380090497741,225
0.89796380090497741,230
0.89758672699849174,235
0.89720965309200607,240
0.89668174962292613,245
0.89600301659125192,250
0.89592760180995479,255
0.89555052790346912,260
0.89562594268476625,265
0.89509803921568631,270
0.89472096530920064,275
0.89426847662141784,280
0.89366515837104077,285
0.89336349924585223,290
0.89245852187028663,295
0.89238310708898949,300
0.89170437405731529,305
0.89087481146304681,310
0.89049773755656103,315
0.88966817496229256,320
0.88936651583710402,325
0.88921568627450975,330
0.88891402714932122,335
0.88876319758672695,340
0.88838612368024128,345
0.88815987933634988,350
0.88785822021116134,355
0.88763197586726994,360
0.88740573152337854,365
0.8873303167420814,370
0.88725490196078427,375
0.88695324283559573,380
0.88680241327300147,385
0.88604826546003013,390
0.88552036199095019,395
0.88506787330316739,400
0.88476621417797885,405
0.88453996983408745,410
0.88408748114630464,415
0.88408748114630464,420
0.88378582202111611,425
0.88378582202111611,430
0.8833333333333333,435
0.88303167420814477,440
0.8824283559577677,445
0.88190045248868776,450
0.88129713423831069,455
0.88107088989441928,460
0.88069381598793361,465
0.88009049773755654,470
0.87971342383107087,475
0.87941176470588234,480
0.87941176470588234,485
0.87918552036199094,490
0.878657616892911,495
0.8784313725490196,500
0.8784313725490196,505
0.87835595776772246,510
0.87820512820512819,515
0.87812971342383106,520
0.87767722473604826,525
0.87752639517345399,530
0.87714932126696832,535
0.87699849170437405,540
0.87684766214177978,545
0.87662141779788838,550
0.87662141779788838,555
0.87624434389140271,560
0.87601809954751131,565
0.87579185520361991,570
0.8753393665158371,575
0.8751131221719457,580
0.87481146304675717,585
0.87473604826546003,590
0.87450980392156863,595
0.87473604826546003,600
0.87473604826546003,605
0.8746606334841629,610
0.87450980392156863,615
0.87435897435897436,620
0.87428355957767723,625
0.87435897435897436,630
0.87413273001508296,635
0.87405731523378583,640
0.87383107088989442,645
0.87345399698340875,650
0.87345399698340875,655
0.87337858220211162,660
0.87307692307692308,665
0.87285067873303168,670
0.87277526395173455,675
0.87232277526395174,680
0.87232277526395174,685
0.87209653092006034,690
0.87202111613876321,695
0.87209653092006034,700
0.87171945701357467,705
0.87164404223227754,710
0.87149321266968327,715
0.871342383107089,720
0.8711161387631976,725
0.87096530920060333,730
0.87073906485671193,735
0.87043740573152339,740
0.87043740573152339,745
0.87036199095022626,750
0.87021116138763199,755
0.86998491704374059,760
0.86990950226244346,765
0.86968325791855206,770
0.86945701357466065,775
0.86923076923076925,780
0.86915535444947212,785
0.86900452488687785,790
0.86877828054298645,795
0.86862745098039218,800
0.86862745098039218,805
0.86825037707390651,810
0.86809954751131224,815
0.86794871794871797,820
0.86772247360482657,825
0.8675716440422323,830
0.86764705882352944,835
0.86764705882352944,840
0.86764705882352944,845
0.86764705882352944,850
0.8675716440422323,855
0.86749622926093517,860
0.8671191553544495,865
0.8668929110105581,870
0.86681749622926096,875
0.86674208144796383,880
0.86659125188536956,885
0.86659125188536956,890
0.86644042232277529,895
0.86644042232277529,900
0.86636500754147816,905
0.86621417797888389,910
0.86598793363499249,915
0.86583710407239822,920
0.86568627450980395,925
0.86553544494720969,930
0.86546003016591255,935
0.86538461538461542,940
0.86546003016591255,945
0.86546003016591255,950
0.86523378582202115,955
0.86515837104072402,960
0.86515837104072402,965
0.86515837104072402,970
0.86500754147812975,975
0.86485671191553548,980
0.86500754147812975,985
0.86485671191553548,990
0.86470588235294121,995
0.86470588235294121,1000
